Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] fcsiam params=0.49M device=cuda train=1440 val=480 test=480
/root/gf/code/train.py:129: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=1.662 val_F1=0.4802 val_IoU=0.3159 (31s)
[E2/100] loss=1.485 val_F1=0.1761 val_IoU=0.0965 (27s)
[E3/100] loss=1.380 val_F1=0.1148 val_IoU=0.0609 (28s)
[E4/100] loss=1.303 val_F1=0.0308 val_IoU=0.0157 (28s)
[E5/100] loss=1.253 val_F1=0.1278 val_IoU=0.0683 (25s)
[E6/100] loss=1.211 val_F1=0.4283 val_IoU=0.2725 (26s)
[E7/100] loss=1.176 val_F1=0.0454 val_IoU=0.0232 (28s)
[E8/100] loss=1.151 val_F1=0.1712 val_IoU=0.0936 (27s)
[E9/100] loss=1.131 val_F1=0.1934 val_IoU=0.1071 (28s)
[E10/100] loss=1.128 val_F1=0.0879 val_IoU=0.0460 (25s)
[E11/100] loss=1.104 val_F1=0.4437 val_IoU=0.2851 (26s)
[E12/100] loss=1.098 val_F1=0.2710 val_IoU=0.1567 (27s)
[E13/100] loss=1.099 val_F1=0.2737 val_IoU=0.1585 (28s)
[E14/100] loss=1.079 val_F1=0.2394 val_IoU=0.1360 (27s)
[E15/100] loss=1.087 val_F1=0.2076 val_IoU=0.1158 (26s)
[E16/100] loss=1.074 val_F1=0.1577 val_IoU=0.0856 (25s)
[E17/100] loss=1.071 val_F1=0.0438 val_IoU=0.0224 (28s)
[E18/100] loss=1.062 val_F1=0.0928 val_IoU=0.0487 (27s)
[E19/100] loss=1.050 val_F1=0.0557 val_IoU=0.0287 (28s)
[E20/100] loss=1.052 val_F1=0.1668 val_IoU=0.0910 (26s)
[E21/100] loss=1.045 val_F1=0.2101 val_IoU=0.1174 (26s)
[E22/100] loss=1.039 val_F1=0.4043 val_IoU=0.2533 (27s)
[E23/100] loss=1.031 val_F1=0.2288 val_IoU=0.1292 (28s)
[E24/100] loss=1.034 val_F1=0.3702 val_IoU=0.2272 (27s)
[E25/100] loss=1.026 val_F1=0.2128 val_IoU=0.1191 (26s)
[E26/100] loss=1.025 val_F1=0.1979 val_IoU=0.1098 (26s)
[E27/100] loss=1.013 val_F1=0.1911 val_IoU=0.1056 (27s)
[E28/100] loss=1.017 val_F1=0.2796 val_IoU=0.1625 (28s)
[E29/100] loss=1.009 val_F1=0.0679 val_IoU=0.0351 (27s)
[E30/100] loss=0.998 val_F1=0.0877 val_IoU=0.0458 (27s)
[E31/100] loss=1.006 val_F1=0.3788 val_IoU=0.2337 (25s)
[E32/100] loss=0.999 val_F1=0.2955 val_IoU=0.1734 (28s)
[E33/100] loss=1.000 val_F1=0.2147 val_IoU=0.1203 (27s)
[E34/100] loss=0.995 val_F1=0.2040 val_IoU=0.1136 (28s)
[E35/100] loss=0.991 val_F1=0.2537 val_IoU=0.1453 (27s)
[E36/100] loss=0.986 val_F1=0.3042 val_IoU=0.1794 (26s)
[E37/100] loss=0.989 val_F1=0.0903 val_IoU=0.0473 (28s)
[E38/100] loss=0.975 val_F1=0.1480 val_IoU=0.0799 (28s)
[E39/100] loss=0.975 val_F1=0.1550 val_IoU=0.0840 (27s)
[E40/100] loss=0.971 val_F1=0.3228 val_IoU=0.1925 (27s)
[E41/100] loss=0.975 val_F1=0.3999 val_IoU=0.2499 (24s)
[E42/100] loss=0.965 val_F1=0.3574 val_IoU=0.2176 (28s)
[E43/100] loss=0.965 val_F1=0.4027 val_IoU=0.2521 (27s)
[E44/100] loss=0.960 val_F1=0.3554 val_IoU=0.2161 (28s)
[E45/100] loss=0.965 val_F1=0.1715 val_IoU=0.0938 (27s)
[E46/100] loss=0.949 val_F1=0.2392 val_IoU=0.1358 (25s)
[E47/100] loss=0.947 val_F1=0.4097 val_IoU=0.2576 (27s)
[E48/100] loss=0.934 val_F1=0.3830 val_IoU=0.2369 (28s)
[E49/100] loss=0.941 val_F1=0.2378 val_IoU=0.1349 (27s)
[E50/100] loss=0.937 val_F1=0.2900 val_IoU=0.1696 (28s)
[E51/100] loss=0.930 val_F1=0.0980 val_IoU=0.0515 (24s)
[E52/100] loss=0.931 val_F1=0.2299 val_IoU=0.1299 (28s)
[E53/100] loss=0.929 val_F1=0.2398 val_IoU=0.1363 (27s)
[E54/100] loss=0.938 val_F1=0.2532 val_IoU=0.1449 (28s)
[E55/100] loss=0.921 val_F1=0.2431 val_IoU=0.1383 (28s)
[E56/100] loss=0.918 val_F1=0.1597 val_IoU=0.0868 (24s)
[E57/100] loss=0.912 val_F1=0.3035 val_IoU=0.1789 (28s)
[E58/100] loss=0.909 val_F1=0.3384 val_IoU=0.2036 (28s)
[E59/100] loss=0.902 val_F1=0.2385 val_IoU=0.1354 (28s)
[E60/100] loss=0.904 val_F1=0.4002 val_IoU=0.2502 (28s)
[E61/100] loss=0.906 val_F1=0.3723 val_IoU=0.2287 (24s)
[E62/100] loss=0.897 val_F1=0.2688 val_IoU=0.1552 (27s)
[E63/100] loss=0.888 val_F1=0.2998 val_IoU=0.1763 (27s)
[E64/100] loss=0.892 val_F1=0.1382 val_IoU=0.0742 (28s)
[E65/100] loss=0.886 val_F1=0.2537 val_IoU=0.1453 (27s)
[E66/100] loss=0.881 val_F1=0.2280 val_IoU=0.1287 (24s)
[E67/100] loss=0.886 val_F1=0.3006 val_IoU=0.1769 (23s)
[E68/100] loss=0.874 val_F1=0.3556 val_IoU=0.2162 (29s)
[E69/100] loss=0.871 val_F1=0.3945 val_IoU=0.2457 (29s)
[E70/100] loss=0.869 val_F1=0.2887 val_IoU=0.1687 (29s)
[E71/100] loss=0.873 val_F1=0.3252 val_IoU=0.1942 (26s)
[E72/100] loss=0.860 val_F1=0.1685 val_IoU=0.0920 (28s)
[E73/100] loss=0.861 val_F1=0.2506 val_IoU=0.1432 (29s)
[E74/100] loss=0.857 val_F1=0.1531 val_IoU=0.0829 (28s)
[E75/100] loss=0.864 val_F1=0.2925 val_IoU=0.1713 (27s)
[E76/100] loss=0.855 val_F1=0.2745 val_IoU=0.1591 (26s)
[E77/100] loss=0.856 val_F1=0.2618 val_IoU=0.1506 (28s)
[E78/100] loss=0.847 val_F1=0.1811 val_IoU=0.0996 (29s)
[E79/100] loss=0.841 val_F1=0.2049 val_IoU=0.1141 (29s)
[E80/100] loss=0.838 val_F1=0.2075 val_IoU=0.1158 (28s)
[E81/100] loss=0.837 val_F1=0.2862 val_IoU=0.1670 (26s)
[E82/100] loss=0.831 val_F1=0.2063 val_IoU=0.1150 (26s)
[E83/100] loss=0.831 val_F1=0.1820 val_IoU=0.1001 (27s)
[E84/100] loss=0.827 val_F1=0.2342 val_IoU=0.1326 (29s)
[E85/100] loss=0.824 val_F1=0.3044 val_IoU=0.1795 (29s)
[E86/100] loss=0.822 val_F1=0.2483 val_IoU=0.1417 (27s)
[E87/100] loss=0.820 val_F1=0.2752 val_IoU=0.1596 (27s)
[E88/100] loss=0.816 val_F1=0.2101 val_IoU=0.1174 (29s)
[E89/100] loss=0.821 val_F1=0.2849 val_IoU=0.1661 (29s)
[E90/100] loss=0.822 val_F1=0.2437 val_IoU=0.1387 (27s)
[E91/100] loss=0.822 val_F1=0.2410 val_IoU=0.1370 (26s)
[E92/100] loss=0.815 val_F1=0.2512 val_IoU=0.1436 (27s)
[E93/100] loss=0.819 val_F1=0.2437 val_IoU=0.1388 (29s)
[E94/100] loss=0.810 val_F1=0.2289 val_IoU=0.1293 (29s)
[E95/100] loss=0.814 val_F1=0.2437 val_IoU=0.1387 (29s)
[E96/100] loss=0.808 val_F1=0.2214 val_IoU=0.1245 (27s)
[E97/100] loss=0.815 val_F1=0.2312 val_IoU=0.1307 (27s)
[E98/100] loss=0.813 val_F1=0.2315 val_IoU=0.1309 (27s)
[E99/100] loss=0.807 val_F1=0.2250 val_IoU=0.1268 (28s)
[E100/100] loss=0.811 val_F1=0.2214 val_IoU=0.1245 (29s)

=== TEST (clcd_fcsiam) === F1=0.5046 IoU=0.3374 P=0.4926 R=0.5172  (best val@ep1)
[ALL_DONE]
