Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3600 val=340 test=48
/root/gf/code/train.py:131: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=2.084 val_F1=0.7891 val_IoU=0.6517 (108s)
[E2/100] loss=1.733 val_F1=0.8026 val_IoU=0.6703 (106s)
[E3/100] loss=1.548 val_F1=0.8410 val_IoU=0.7257 (105s)
[E4/100] loss=1.395 val_F1=0.8221 val_IoU=0.6980 (105s)
[E5/100] loss=1.255 val_F1=0.8463 val_IoU=0.7335 (105s)
[E6/100] loss=1.176 val_F1=0.8496 val_IoU=0.7386 (105s)
[E7/100] loss=1.096 val_F1=0.8838 val_IoU=0.7918 (106s)
[E8/100] loss=1.042 val_F1=0.8816 val_IoU=0.7882 (105s)
[E9/100] loss=0.981 val_F1=0.8891 val_IoU=0.8003 (105s)
[E10/100] loss=0.939 val_F1=0.8895 val_IoU=0.8010 (106s)
[E11/100] loss=0.894 val_F1=0.8946 val_IoU=0.8093 (105s)
[E12/100] loss=0.876 val_F1=0.9113 val_IoU=0.8370 (105s)
[E13/100] loss=0.873 val_F1=0.9049 val_IoU=0.8263 (105s)
[E14/100] loss=0.793 val_F1=0.9095 val_IoU=0.8341 (105s)
[E15/100] loss=0.780 val_F1=0.9070 val_IoU=0.8298 (105s)
[E16/100] loss=0.763 val_F1=0.9100 val_IoU=0.8349 (105s)
[E17/100] loss=0.736 val_F1=0.9189 val_IoU=0.8500 (106s)
[E18/100] loss=0.724 val_F1=0.9187 val_IoU=0.8497 (136s)
[E19/100] loss=0.712 val_F1=0.9181 val_IoU=0.8485 (139s)
[E20/100] loss=0.688 val_F1=0.9033 val_IoU=0.8237 (139s)
[E21/100] loss=0.657 val_F1=0.9158 val_IoU=0.8446 (139s)
[E22/100] loss=0.629 val_F1=0.9186 val_IoU=0.8495 (140s)
[E23/100] loss=0.615 val_F1=0.9246 val_IoU=0.8598 (139s)
[E24/100] loss=0.603 val_F1=0.9186 val_IoU=0.8495 (140s)
[E25/100] loss=0.571 val_F1=0.9247 val_IoU=0.8599 (139s)
[E26/100] loss=0.591 val_F1=0.9337 val_IoU=0.8756 (140s)
[E27/100] loss=0.575 val_F1=0.9259 val_IoU=0.8620 (139s)
[E28/100] loss=0.551 val_F1=0.9094 val_IoU=0.8338 (139s)
[E29/100] loss=0.539 val_F1=0.9281 val_IoU=0.8658 (139s)
[E30/100] loss=0.538 val_F1=0.9253 val_IoU=0.8610 (139s)
[E31/100] loss=0.517 val_F1=0.9366 val_IoU=0.8807 (140s)
[E32/100] loss=0.537 val_F1=0.9235 val_IoU=0.8578 (140s)
[E33/100] loss=0.506 val_F1=0.9347 val_IoU=0.8773 (140s)
[E34/100] loss=0.494 val_F1=0.9361 val_IoU=0.8799 (140s)
[E35/100] loss=0.473 val_F1=0.9374 val_IoU=0.8821 (140s)
[E36/100] loss=0.484 val_F1=0.9415 val_IoU=0.8895 (141s)
[E37/100] loss=0.472 val_F1=0.9369 val_IoU=0.8813 (139s)
[E38/100] loss=0.447 val_F1=0.9357 val_IoU=0.8792 (138s)
[E39/100] loss=0.453 val_F1=0.9371 val_IoU=0.8816 (139s)
[E40/100] loss=0.454 val_F1=0.9378 val_IoU=0.8829 (141s)
[E41/100] loss=0.445 val_F1=0.9363 val_IoU=0.8802 (140s)
[E42/100] loss=0.424 val_F1=0.9410 val_IoU=0.8886 (139s)
[E43/100] loss=0.426 val_F1=0.9424 val_IoU=0.8911 (140s)
[E44/100] loss=0.425 val_F1=0.9400 val_IoU=0.8868 (140s)
[E45/100] loss=0.420 val_F1=0.9400 val_IoU=0.8869 (140s)
[E46/100] loss=0.407 val_F1=0.9454 val_IoU=0.8965 (140s)
[E47/100] loss=0.396 val_F1=0.9405 val_IoU=0.8877 (140s)
[E48/100] loss=0.407 val_F1=0.9462 val_IoU=0.8979 (140s)
[E49/100] loss=0.396 val_F1=0.9457 val_IoU=0.8970 (141s)
[E50/100] loss=0.385 val_F1=0.9396 val_IoU=0.8860 (140s)
[E51/100] loss=0.391 val_F1=0.9483 val_IoU=0.9017 (139s)
