Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3600 val=340 test=48
/root/gf/code/train.py:128: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=2.276 val_F1=0.6933 val_IoU=0.5306 (47s)
[E2/100] loss=1.937 val_F1=0.7604 val_IoU=0.6135 (37s)
[E3/100] loss=1.781 val_F1=0.7490 val_IoU=0.5987 (39s)
[E4/100] loss=1.682 val_F1=0.7528 val_IoU=0.6037 (37s)
[E5/100] loss=1.606 val_F1=0.7891 val_IoU=0.6516 (37s)
[E6/100] loss=1.530 val_F1=0.8451 val_IoU=0.7317 (40s)
[E7/100] loss=1.499 val_F1=0.8224 val_IoU=0.6984 (39s)
[E8/100] loss=1.456 val_F1=0.8470 val_IoU=0.7346 (40s)
[E9/100] loss=1.388 val_F1=0.8089 val_IoU=0.6791 (39s)
[E10/100] loss=1.380 val_F1=0.8492 val_IoU=0.7380 (40s)
[E11/100] loss=1.297 val_F1=0.8553 val_IoU=0.7473 (37s)
[E12/100] loss=1.299 val_F1=0.8185 val_IoU=0.6928 (39s)
[E13/100] loss=1.206 val_F1=0.8704 val_IoU=0.7705 (40s)
[E14/100] loss=1.171 val_F1=0.8845 val_IoU=0.7929 (36s)
[E15/100] loss=1.162 val_F1=0.8290 val_IoU=0.7079 (40s)
[E16/100] loss=1.132 val_F1=0.8618 val_IoU=0.7572 (37s)
[E17/100] loss=1.119 val_F1=0.8056 val_IoU=0.6745 (40s)
[E18/100] loss=1.065 val_F1=0.8816 val_IoU=0.7882 (39s)
[E19/100] loss=1.038 val_F1=0.8730 val_IoU=0.7747 (37s)
[E20/100] loss=1.032 val_F1=0.8801 val_IoU=0.7858 (39s)
[E21/100] loss=0.974 val_F1=0.8798 val_IoU=0.7854 (40s)
[E22/100] loss=0.968 val_F1=0.9039 val_IoU=0.8247 (39s)
[E23/100] loss=0.956 val_F1=0.8956 val_IoU=0.8109 (40s)
[E24/100] loss=0.950 val_F1=0.8948 val_IoU=0.8097 (40s)
[E25/100] loss=0.903 val_F1=0.8762 val_IoU=0.7797 (40s)
[E26/100] loss=0.891 val_F1=0.8981 val_IoU=0.8150 (37s)
[E27/100] loss=0.868 val_F1=0.9006 val_IoU=0.8192 (40s)
[E28/100] loss=0.863 val_F1=0.9166 val_IoU=0.8461 (37s)
[E29/100] loss=0.834 val_F1=0.9106 val_IoU=0.8359 (39s)
[E30/100] loss=0.864 val_F1=0.8756 val_IoU=0.7787 (39s)
[E31/100] loss=0.837 val_F1=0.9073 val_IoU=0.8304 (37s)
[E32/100] loss=0.848 val_F1=0.8913 val_IoU=0.8039 (40s)
[E33/100] loss=0.827 val_F1=0.8878 val_IoU=0.7982 (40s)
[E34/100] loss=0.806 val_F1=0.8929 val_IoU=0.8065 (39s)
[E35/100] loss=0.763 val_F1=0.9241 val_IoU=0.8588 (41s)
[E36/100] loss=0.801 val_F1=0.9037 val_IoU=0.8243 (36s)
[E37/100] loss=0.777 val_F1=0.8950 val_IoU=0.8100 (38s)
[E38/100] loss=0.729 val_F1=0.9087 val_IoU=0.8327 (38s)
[E39/100] loss=0.735 val_F1=0.8947 val_IoU=0.8094 (38s)
[E40/100] loss=0.722 val_F1=0.9058 val_IoU=0.8277 (40s)
[E41/100] loss=0.716 val_F1=0.9127 val_IoU=0.8394 (40s)
[E42/100] loss=0.702 val_F1=0.8984 val_IoU=0.8156 (38s)
