Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=12000 val=4000 test=4000
/root/gf/code/train.py:129: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/80] loss=1.686 val_F1=0.7583 val_IoU=0.6107 (140s)
[E2/80] loss=1.275 val_F1=0.7885 val_IoU=0.6508 (137s)
[E3/80] loss=1.110 val_F1=0.7760 val_IoU=0.6340 (137s)
[E4/80] loss=1.005 val_F1=0.7987 val_IoU=0.6649 (137s)
[E5/80] loss=0.917 val_F1=0.7996 val_IoU=0.6661 (137s)
[E6/80] loss=0.853 val_F1=0.7785 val_IoU=0.6373 (137s)
[E7/80] loss=0.790 val_F1=0.7939 val_IoU=0.6583 (137s)
[E8/80] loss=0.745 val_F1=0.8061 val_IoU=0.6752 (137s)
[E9/80] loss=0.709 val_F1=0.7934 val_IoU=0.6575 (137s)
[E10/80] loss=0.666 val_F1=0.7784 val_IoU=0.6371 (137s)
[E11/80] loss=0.640 val_F1=0.8010 val_IoU=0.6681 (137s)
[E12/80] loss=0.618 val_F1=0.8076 val_IoU=0.6773 (137s)
[E13/80] loss=0.590 val_F1=0.7435 val_IoU=0.5917 (138s)
[E14/80] loss=0.565 val_F1=0.8065 val_IoU=0.6757 (139s)
[E15/80] loss=0.542 val_F1=0.8124 val_IoU=0.6840 (141s)
[E16/80] loss=0.541 val_F1=0.7907 val_IoU=0.6539 (143s)
[E17/80] loss=0.512 val_F1=0.8075 val_IoU=0.6771 (141s)
[E18/80] loss=0.503 val_F1=0.8065 val_IoU=0.6757 (141s)
[E19/80] loss=0.471 val_F1=0.7863 val_IoU=0.6479 (143s)
[E20/80] loss=0.463 val_F1=0.8074 val_IoU=0.6771 (136s)
[E21/80] loss=0.444 val_F1=0.7890 val_IoU=0.6515 (144s)
[E22/80] loss=0.435 val_F1=0.8012 val_IoU=0.6683 (146s)
[E23/80] loss=0.419 val_F1=0.7978 val_IoU=0.6637 (144s)
[E24/80] loss=0.412 val_F1=0.8029 val_IoU=0.6707 (143s)
[E25/80] loss=0.398 val_F1=0.8008 val_IoU=0.6677 (145s)
[E26/80] loss=0.389 val_F1=0.8031 val_IoU=0.6710 (145s)
[E27/80] loss=0.380 val_F1=0.8029 val_IoU=0.6707 (144s)
[E28/80] loss=0.371 val_F1=0.7992 val_IoU=0.6656 (146s)
[E29/80] loss=0.364 val_F1=0.7997 val_IoU=0.6663 (144s)
[E30/80] loss=0.353 val_F1=0.7976 val_IoU=0.6633 (144s)
[E31/80] loss=0.346 val_F1=0.7955 val_IoU=0.6604 (146s)
[E32/80] loss=0.338 val_F1=0.8074 val_IoU=0.6770 (144s)
[E33/80] loss=0.329 val_F1=0.8032 val_IoU=0.6711 (144s)
[E34/80] loss=0.324 val_F1=0.8097 val_IoU=0.6803 (146s)
[E35/80] loss=0.318 val_F1=0.8102 val_IoU=0.6810 (142s)
[E36/80] loss=0.309 val_F1=0.8069 val_IoU=0.6763 (146s)
[E37/80] loss=0.303 val_F1=0.7925 val_IoU=0.6563 (144s)
[E38/80] loss=0.295 val_F1=0.8053 val_IoU=0.6741 (144s)
[E39/80] loss=0.293 val_F1=0.7993 val_IoU=0.6657 (147s)
[E40/80] loss=0.284 val_F1=0.8033 val_IoU=0.6712 (143s)
[E41/80] loss=0.277 val_F1=0.8030 val_IoU=0.6708 (144s)
[E42/80] loss=0.277 val_F1=0.8078 val_IoU=0.6776 (145s)
[E43/80] loss=0.268 val_F1=0.8048 val_IoU=0.6734 (143s)
