Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] fcsiam params=0.49M device=cuda train=3600 val=340 test=48
/root/gf/code/train.py:128: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=1.705 val_F1=0.5818 val_IoU=0.4103 (66s)
[E2/100] loss=1.570 val_F1=0.6147 val_IoU=0.4437 (60s)
[E3/100] loss=1.526 val_F1=0.6151 val_IoU=0.4442 (59s)
[E4/100] loss=1.493 val_F1=0.6670 val_IoU=0.5004 (60s)
[E5/100] loss=1.468 val_F1=0.6082 val_IoU=0.4370 (57s)
[E6/100] loss=1.457 val_F1=0.6312 val_IoU=0.4612 (60s)
[E7/100] loss=1.447 val_F1=0.6425 val_IoU=0.4733 (60s)
[E8/100] loss=1.426 val_F1=0.6573 val_IoU=0.4896 (60s)
[E9/100] loss=1.404 val_F1=0.6296 val_IoU=0.4594 (60s)
[E10/100] loss=1.392 val_F1=0.6496 val_IoU=0.4811 (60s)
[E11/100] loss=1.386 val_F1=0.5939 val_IoU=0.4224 (60s)
[E12/100] loss=1.382 val_F1=0.6768 val_IoU=0.5115 (59s)
[E13/100] loss=1.368 val_F1=0.6910 val_IoU=0.5279 (60s)
[E14/100] loss=1.355 val_F1=0.6853 val_IoU=0.5213 (60s)
[E15/100] loss=1.349 val_F1=0.6525 val_IoU=0.4842 (60s)
[E16/100] loss=1.334 val_F1=0.6868 val_IoU=0.5230 (58s)
[E17/100] loss=1.331 val_F1=0.6422 val_IoU=0.4730 (59s)
[E18/100] loss=1.333 val_F1=0.6385 val_IoU=0.4689 (59s)
[E19/100] loss=1.317 val_F1=0.6135 val_IoU=0.4425 (60s)
[E20/100] loss=1.304 val_F1=0.6792 val_IoU=0.5143 (63s)
[E21/100] loss=1.303 val_F1=0.6163 val_IoU=0.4454 (60s)
[E22/100] loss=1.294 val_F1=0.6529 val_IoU=0.4847 (62s)
[E23/100] loss=1.301 val_F1=0.6716 val_IoU=0.5056 (57s)
[E24/100] loss=1.294 val_F1=0.6909 val_IoU=0.5278 (61s)
[E25/100] loss=1.287 val_F1=0.6371 val_IoU=0.4674 (59s)
[E26/100] loss=1.274 val_F1=0.6979 val_IoU=0.5360 (60s)
[E27/100] loss=1.262 val_F1=0.6854 val_IoU=0.5214 (59s)
[E28/100] loss=1.270 val_F1=0.6549 val_IoU=0.4869 (59s)
[E29/100] loss=1.249 val_F1=0.6337 val_IoU=0.4638 (60s)
[E30/100] loss=1.252 val_F1=0.6676 val_IoU=0.5011 (60s)
[E31/100] loss=1.245 val_F1=0.6804 val_IoU=0.5156 (62s)
[E32/100] loss=1.237 val_F1=0.6653 val_IoU=0.4984 (59s)
[E33/100] loss=1.232 val_F1=0.6979 val_IoU=0.5360 (62s)
[E34/100] loss=1.223 val_F1=0.6556 val_IoU=0.4877 (60s)
[E35/100] loss=1.219 val_F1=0.6835 val_IoU=0.5192 (58s)
[E36/100] loss=1.224 val_F1=0.6817 val_IoU=0.5171 (59s)
[E37/100] loss=1.205 val_F1=0.6667 val_IoU=0.5000 (57s)
[E38/100] loss=1.221 val_F1=0.6533 val_IoU=0.4852 (59s)
[E39/100] loss=1.196 val_F1=0.6337 val_IoU=0.4638 (58s)
[E40/100] loss=1.199 val_F1=0.6889 val_IoU=0.5254 (59s)
[E41/100] loss=1.198 val_F1=0.6771 val_IoU=0.5118 (62s)
[E42/100] loss=1.186 val_F1=0.6755 val_IoU=0.5100 (59s)
[E43/100] loss=1.179 val_F1=0.6441 val_IoU=0.4751 (59s)
[E44/100] loss=1.173 val_F1=0.6229 val_IoU=0.4523 (58s)
[E45/100] loss=1.175 val_F1=0.6797 val_IoU=0.5148 (58s)
[E46/100] loss=1.166 val_F1=0.6549 val_IoU=0.4869 (58s)
[E47/100] loss=1.162 val_F1=0.6734 val_IoU=0.5076 (60s)
[E48/100] loss=1.168 val_F1=0.6628 val_IoU=0.4957 (59s)
[E49/100] loss=1.158 val_F1=0.6689 val_IoU=0.5025 (62s)
[E50/100] loss=1.159 val_F1=0.6595 val_IoU=0.4920 (63s)
[E51/100] loss=1.151 val_F1=0.6714 val_IoU=0.5053 (60s)
[E52/100] loss=1.143 val_F1=0.6771 val_IoU=0.5118 (59s)
[E53/100] loss=1.144 val_F1=0.6584 val_IoU=0.4907 (58s)
[E54/100] loss=1.133 val_F1=0.6781 val_IoU=0.5130 (59s)
[E55/100] loss=1.135 val_F1=0.6895 val_IoU=0.5261 (59s)
[E56/100] loss=1.129 val_F1=0.6770 val_IoU=0.5117 (59s)
[E57/100] loss=1.123 val_F1=0.6111 val_IoU=0.4400 (58s)
[E58/100] loss=1.110 val_F1=0.6526 val_IoU=0.4843 (58s)
[E59/100] loss=1.122 val_F1=0.6713 val_IoU=0.5053 (58s)
[E60/100] loss=1.113 val_F1=0.6366 val_IoU=0.4670 (61s)
[E61/100] loss=1.116 val_F1=0.6252 val_IoU=0.4547 (61s)
[E62/100] loss=1.111 val_F1=0.6380 val_IoU=0.4684 (60s)
[E63/100] loss=1.104 val_F1=0.6546 val_IoU=0.4866 (59s)
[E64/100] loss=1.106 val_F1=0.6481 val_IoU=0.4794 (59s)
[E65/100] loss=1.095 val_F1=0.6814 val_IoU=0.5167 (57s)
[E66/100] loss=1.095 val_F1=0.6731 val_IoU=0.5073 (50s)
[E67/100] loss=1.099 val_F1=0.6593 val_IoU=0.4918 (45s)
[E68/100] loss=1.088 val_F1=0.6841 val_IoU=0.5199 (46s)
[E69/100] loss=1.084 val_F1=0.6694 val_IoU=0.5031 (45s)
[E70/100] loss=1.085 val_F1=0.6872 val_IoU=0.5234 (48s)
[E71/100] loss=1.091 val_F1=0.6623 val_IoU=0.4951 (46s)
[E72/100] loss=1.079 val_F1=0.6534 val_IoU=0.4852 (46s)
[E73/100] loss=1.074 val_F1=0.6900 val_IoU=0.5268 (46s)
[E74/100] loss=1.074 val_F1=0.6669 val_IoU=0.5003 (45s)
[E75/100] loss=1.080 val_F1=0.6772 val_IoU=0.5119 (44s)
[E76/100] loss=1.063 val_F1=0.6863 val_IoU=0.5224 (31s)
[E77/100] loss=1.073 val_F1=0.6826 val_IoU=0.5181 (32s)
[E78/100] loss=1.062 val_F1=0.6689 val_IoU=0.5026 (32s)
[E79/100] loss=1.065 val_F1=0.6834 val_IoU=0.5190 (32s)
[E80/100] loss=1.068 val_F1=0.6912 val_IoU=0.5281 (32s)
[E81/100] loss=1.063 val_F1=0.6723 val_IoU=0.5064 (34s)
[E82/100] loss=1.058 val_F1=0.6873 val_IoU=0.5236 (32s)
[E83/100] loss=1.050 val_F1=0.6909 val_IoU=0.5277 (33s)
[E84/100] loss=1.053 val_F1=0.6689 val_IoU=0.5025 (31s)
[E85/100] loss=1.052 val_F1=0.6796 val_IoU=0.5147 (31s)
[E86/100] loss=1.053 val_F1=0.6750 val_IoU=0.5095 (31s)
[E87/100] loss=1.049 val_F1=0.6912 val_IoU=0.5281 (31s)
[E88/100] loss=1.044 val_F1=0.6680 val_IoU=0.5014 (31s)
[E89/100] loss=1.049 val_F1=0.6839 val_IoU=0.5197 (31s)
[E90/100] loss=1.054 val_F1=0.6887 val_IoU=0.5252 (32s)
[E91/100] loss=1.049 val_F1=0.6770 val_IoU=0.5117 (33s)
[E92/100] loss=1.041 val_F1=0.6729 val_IoU=0.5070 (35s)
[E93/100] loss=1.051 val_F1=0.6861 val_IoU=0.5222 (34s)
[E94/100] loss=1.046 val_F1=0.6846 val_IoU=0.5205 (32s)
[E95/100] loss=1.042 val_F1=0.6836 val_IoU=0.5193 (32s)
[E96/100] loss=1.047 val_F1=0.6773 val_IoU=0.5121 (31s)
[E97/100] loss=1.046 val_F1=0.6810 val_IoU=0.5162 (31s)
[E98/100] loss=1.042 val_F1=0.6835 val_IoU=0.5192 (31s)
[E99/100] loss=1.041 val_F1=0.6848 val_IoU=0.5207 (31s)
[E100/100] loss=1.046 val_F1=0.6785 val_IoU=0.5134 (31s)

=== TEST (dsifn_fcsiam) === F1=0.4901 IoU=0.3246 P=0.3987 R=0.6359  (best val@ep33)
[ALL_DONE]
