Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=1440 val=480 test=480
/root/gf/code/train.py:129: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=2.963 val_F1=0.5725 val_IoU=0.4010 (22s)
[E2/100] loss=2.348 val_F1=0.5726 val_IoU=0.4011 (18s)
[E3/100] loss=2.116 val_F1=0.5741 val_IoU=0.4026 (18s)
[E4/100] loss=1.983 val_F1=0.6172 val_IoU=0.4463 (19s)
[E5/100] loss=1.903 val_F1=0.7444 val_IoU=0.5929 (18s)
[E6/100] loss=1.818 val_F1=0.5175 val_IoU=0.3491 (18s)
[E7/100] loss=1.779 val_F1=0.7245 val_IoU=0.5680 (17s)
[E8/100] loss=1.685 val_F1=0.7454 val_IoU=0.5941 (16s)
[E9/100] loss=1.679 val_F1=0.6474 val_IoU=0.4786 (18s)
[E10/100] loss=1.663 val_F1=0.7611 val_IoU=0.6143 (18s)
[E11/100] loss=1.581 val_F1=0.7431 val_IoU=0.5913 (18s)
[E12/100] loss=1.583 val_F1=0.7744 val_IoU=0.6318 (18s)
[E13/100] loss=1.515 val_F1=0.7090 val_IoU=0.5492 (18s)
[E14/100] loss=1.527 val_F1=0.6603 val_IoU=0.4929 (18s)
[E15/100] loss=1.421 val_F1=0.7530 val_IoU=0.6038 (17s)
[E16/100] loss=1.417 val_F1=0.6456 val_IoU=0.4767 (17s)
[E17/100] loss=1.335 val_F1=0.7452 val_IoU=0.5939 (18s)
[E18/100] loss=1.271 val_F1=0.7147 val_IoU=0.5560 (18s)
[E19/100] loss=1.322 val_F1=0.7698 val_IoU=0.6257 (18s)
[E20/100] loss=1.189 val_F1=0.7331 val_IoU=0.5786 (18s)
[E21/100] loss=1.197 val_F1=0.7041 val_IoU=0.5433 (18s)
[E22/100] loss=1.193 val_F1=0.7426 val_IoU=0.5906 (18s)
[E23/100] loss=1.110 val_F1=0.7178 val_IoU=0.5598 (17s)
[E24/100] loss=1.145 val_F1=0.7455 val_IoU=0.5943 (17s)
[E25/100] loss=1.140 val_F1=0.7555 val_IoU=0.6071 (18s)
[E26/100] loss=1.130 val_F1=0.7776 val_IoU=0.6361 (18s)
[E27/100] loss=1.057 val_F1=0.7614 val_IoU=0.6147 (18s)
[E28/100] loss=1.015 val_F1=0.7635 val_IoU=0.6175 (18s)
[E29/100] loss=0.988 val_F1=0.7544 val_IoU=0.6057 (18s)
[E30/100] loss=0.999 val_F1=0.7741 val_IoU=0.6314 (18s)
[E31/100] loss=0.961 val_F1=0.7777 val_IoU=0.6363 (16s)
[E32/100] loss=0.989 val_F1=0.7371 val_IoU=0.5836 (18s)
[E33/100] loss=0.951 val_F1=0.7462 val_IoU=0.5952 (18s)
[E34/100] loss=0.965 val_F1=0.7560 val_IoU=0.6078 (18s)
[E35/100] loss=0.911 val_F1=0.7347 val_IoU=0.5807 (18s)
[E36/100] loss=0.890 val_F1=0.7421 val_IoU=0.5899 (18s)
[E37/100] loss=0.942 val_F1=0.7683 val_IoU=0.6238 (18s)
[E38/100] loss=0.951 val_F1=0.7196 val_IoU=0.5621 (16s)
[E39/100] loss=0.903 val_F1=0.7709 val_IoU=0.6272 (17s)
[E40/100] loss=0.871 val_F1=0.7597 val_IoU=0.6125 (18s)
[E41/100] loss=0.869 val_F1=0.7733 val_IoU=0.6304 (18s)
[E42/100] loss=0.831 val_F1=0.7885 val_IoU=0.6508 (19s)
[E43/100] loss=0.794 val_F1=0.7604 val_IoU=0.6134 (18s)
[E44/100] loss=0.828 val_F1=0.7723 val_IoU=0.6291 (18s)
[E45/100] loss=0.824 val_F1=0.7847 val_IoU=0.6457 (19s)
[E46/100] loss=0.787 val_F1=0.7751 val_IoU=0.6328 (16s)
[E47/100] loss=0.799 val_F1=0.7662 val_IoU=0.6210 (17s)
[E48/100] loss=0.764 val_F1=0.7803 val_IoU=0.6398 (19s)
[E49/100] loss=0.774 val_F1=0.7701 val_IoU=0.6261 (18s)
[E50/100] loss=0.741 val_F1=0.7627 val_IoU=0.6164 (18s)
[E51/100] loss=0.752 val_F1=0.7550 val_IoU=0.6064 (19s)
[E52/100] loss=0.763 val_F1=0.7512 val_IoU=0.6015 (18s)
[E53/100] loss=0.767 val_F1=0.7386 val_IoU=0.5855 (18s)
[E54/100] loss=0.776 val_F1=0.7524 val_IoU=0.6031 (16s)
[E55/100] loss=0.750 val_F1=0.7689 val_IoU=0.6246 (18s)
[E56/100] loss=0.719 val_F1=0.7674 val_IoU=0.6226 (18s)
[E57/100] loss=0.694 val_F1=0.7356 val_IoU=0.5818 (18s)
[E58/100] loss=0.719 val_F1=0.7368 val_IoU=0.5833 (18s)
[E59/100] loss=0.673 val_F1=0.7522 val_IoU=0.6028 (18s)
[E60/100] loss=0.709 val_F1=0.7660 val_IoU=0.6207 (18s)
[E61/100] loss=0.676 val_F1=0.7642 val_IoU=0.6184 (17s)
[E62/100] loss=0.691 val_F1=0.7353 val_IoU=0.5813 (17s)
[E63/100] loss=0.705 val_F1=0.7589 val_IoU=0.6115 (18s)
[E64/100] loss=0.661 val_F1=0.7632 val_IoU=0.6171 (18s)
[E65/100] loss=0.661 val_F1=0.7517 val_IoU=0.6022 (18s)
[E66/100] loss=0.652 val_F1=0.7673 val_IoU=0.6225 (18s)
[E67/100] loss=0.659 val_F1=0.7710 val_IoU=0.6273 (18s)
[E68/100] loss=0.645 val_F1=0.7671 val_IoU=0.6223 (18s)
[E69/100] loss=0.637 val_F1=0.7751 val_IoU=0.6328 (16s)
[E70/100] loss=0.631 val_F1=0.7680 val_IoU=0.6234 (17s)
[E71/100] loss=0.633 val_F1=0.7748 val_IoU=0.6324 (18s)
[E72/100] loss=0.620 val_F1=0.7722 val_IoU=0.6289 (18s)
[E73/100] loss=0.629 val_F1=0.7783 val_IoU=0.6371 (18s)
[E74/100] loss=0.611 val_F1=0.7704 val_IoU=0.6266 (18s)
[E75/100] loss=0.615 val_F1=0.7746 val_IoU=0.6322 (18s)
[E76/100] loss=0.619 val_F1=0.7721 val_IoU=0.6288 (17s)
[E77/100] loss=0.597 val_F1=0.7676 val_IoU=0.6229 (17s)
[E78/100] loss=0.587 val_F1=0.7759 val_IoU=0.6339 (18s)
[E79/100] loss=0.600 val_F1=0.7664 val_IoU=0.6213 (18s)
[E80/100] loss=0.591 val_F1=0.7690 val_IoU=0.6247 (18s)
[E81/100] loss=0.601 val_F1=0.7674 val_IoU=0.6226 (18s)
[E82/100] loss=0.604 val_F1=0.7701 val_IoU=0.6262 (18s)
[E83/100] loss=0.596 val_F1=0.7747 val_IoU=0.6323 (19s)
[E84/100] loss=0.588 val_F1=0.7805 val_IoU=0.6400 (16s)
[E85/100] loss=0.583 val_F1=0.7794 val_IoU=0.6386 (17s)
[E86/100] loss=0.594 val_F1=0.7747 val_IoU=0.6323 (18s)
[E87/100] loss=0.599 val_F1=0.7716 val_IoU=0.6281 (18s)
[E88/100] loss=0.579 val_F1=0.7746 val_IoU=0.6321 (18s)
[E89/100] loss=0.575 val_F1=0.7713 val_IoU=0.6277 (19s)
[E90/100] loss=0.578 val_F1=0.7771 val_IoU=0.6355 (18s)
[E91/100] loss=0.574 val_F1=0.7752 val_IoU=0.6329 (18s)
[E92/100] loss=0.576 val_F1=0.7708 val_IoU=0.6271 (17s)
[E93/100] loss=0.585 val_F1=0.7718 val_IoU=0.6284 (17s)
[E94/100] loss=0.575 val_F1=0.7691 val_IoU=0.6248 (18s)
[E95/100] loss=0.579 val_F1=0.7733 val_IoU=0.6304 (18s)
[E96/100] loss=0.582 val_F1=0.7723 val_IoU=0.6291 (18s)
[E97/100] loss=0.572 val_F1=0.7699 val_IoU=0.6259 (19s)
[E98/100] loss=0.578 val_F1=0.7705 val_IoU=0.6266 (18s)
[E99/100] loss=0.573 val_F1=0.7718 val_IoU=0.6284 (17s)
[E100/100] loss=0.577 val_F1=0.7752 val_IoU=0.6330 (16s)

=== TEST (clcd_dcff) === F1=0.7725 IoU=0.6294 P=0.7772 R=0.7680  (best val@ep42)
[ALL_DONE]
