Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[LOG] dcff params=13.59M device=cuda train=3654 val=1219 test=1218
/root/gf/code/train.py:128: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  tot += float(loss)
[E1/100] loss=2.624 val_F1=0.5268 val_IoU=0.3576 (51s)
[E2/100] loss=2.127 val_F1=0.6873 val_IoU=0.5235 (43s)
[E3/100] loss=2.017 val_F1=0.6775 val_IoU=0.5123 (44s)
[E4/100] loss=1.965 val_F1=0.6634 val_IoU=0.4963 (46s)
[E5/100] loss=1.939 val_F1=0.7327 val_IoU=0.5782 (44s)
[E6/100] loss=1.887 val_F1=0.7004 val_IoU=0.5389 (43s)
[E7/100] loss=1.342 val_F1=0.4885 val_IoU=0.3232 (46s)
[E8/100] loss=1.021 val_F1=0.6203 val_IoU=0.4495 (46s)
[E9/100] loss=0.868 val_F1=0.7285 val_IoU=0.5729 (44s)
[E10/100] loss=0.764 val_F1=0.7476 val_IoU=0.5969 (44s)
[E11/100] loss=0.688 val_F1=0.7042 val_IoU=0.5434 (42s)
[E12/100] loss=0.704 val_F1=0.7554 val_IoU=0.6070 (44s)
[E13/100] loss=0.655 val_F1=0.7414 val_IoU=0.5890 (46s)
[E14/100] loss=0.682 val_F1=0.7092 val_IoU=0.5494 (43s)
[E15/100] loss=0.624 val_F1=0.7250 val_IoU=0.5687 (44s)
[E16/100] loss=0.582 val_F1=0.7814 val_IoU=0.6412 (45s)
[E17/100] loss=0.609 val_F1=0.7144 val_IoU=0.5556 (44s)
[E18/100] loss=0.615 val_F1=0.7393 val_IoU=0.5865 (43s)
[E19/100] loss=0.548 val_F1=0.7120 val_IoU=0.5528 (47s)
[E20/100] loss=0.580 val_F1=0.7647 val_IoU=0.6190 (44s)
[E21/100] loss=0.583 val_F1=0.7523 val_IoU=0.6030 (45s)
[E22/100] loss=0.549 val_F1=0.7505 val_IoU=0.6006 (46s)
[E23/100] loss=0.526 val_F1=0.7617 val_IoU=0.6151 (44s)
[E24/100] loss=0.514 val_F1=0.7197 val_IoU=0.5621 (43s)
[E25/100] loss=0.529 val_F1=0.7510 val_IoU=0.6013 (45s)
[E26/100] loss=0.574 val_F1=0.7299 val_IoU=0.5747 (42s)
[E27/100] loss=0.515 val_F1=0.7483 val_IoU=0.5978 (44s)
[E28/100] loss=0.502 val_F1=0.7222 val_IoU=0.5652 (45s)
[E29/100] loss=0.526 val_F1=0.7475 val_IoU=0.5969 (46s)
[E30/100] loss=0.486 val_F1=0.7743 val_IoU=0.6318 (45s)
[E31/100] loss=0.488 val_F1=0.7335 val_IoU=0.5791 (46s)
[E32/100] loss=0.485 val_F1=0.7931 val_IoU=0.6572 (45s)
[E33/100] loss=0.492 val_F1=0.7560 val_IoU=0.6077 (43s)
[E34/100] loss=0.475 val_F1=0.7811 val_IoU=0.6408 (44s)
[E35/100] loss=0.478 val_F1=0.7565 val_IoU=0.6084 (43s)
[E36/100] loss=0.495 val_F1=0.7670 val_IoU=0.6221 (47s)
[E37/100] loss=0.465 val_F1=0.7601 val_IoU=0.6130 (46s)
[E38/100] loss=0.468 val_F1=0.7056 val_IoU=0.5451 (43s)
[E39/100] loss=0.447 val_F1=0.7928 val_IoU=0.6568 (43s)
[E40/100] loss=0.432 val_F1=0.7923 val_IoU=0.6560 (45s)
[E41/100] loss=0.428 val_F1=0.7942 val_IoU=0.6587 (42s)
[E42/100] loss=0.409 val_F1=0.7864 val_IoU=0.6479 (42s)
[E43/100] loss=0.406 val_F1=0.7790 val_IoU=0.6380 (45s)
[E44/100] loss=0.432 val_F1=0.7713 val_IoU=0.6278 (49s)
[E45/100] loss=0.430 val_F1=0.7781 val_IoU=0.6368 (43s)
[E46/100] loss=0.423 val_F1=0.7792 val_IoU=0.6383 (44s)
[E47/100] loss=0.416 val_F1=0.7847 val_IoU=0.6457 (44s)
[E48/100] loss=0.413 val_F1=0.8022 val_IoU=0.6697 (44s)
[E49/100] loss=0.394 val_F1=0.7922 val_IoU=0.6559 (43s)
[E50/100] loss=0.394 val_F1=0.7955 val_IoU=0.6605 (46s)
[E51/100] loss=0.390 val_F1=0.7877 val_IoU=0.6498 (45s)
[E52/100] loss=0.392 val_F1=0.7926 val_IoU=0.6564 (46s)
[E53/100] loss=0.388 val_F1=0.7803 val_IoU=0.6398 (45s)
[E54/100] loss=0.378 val_F1=0.7694 val_IoU=0.6252 (42s)
[E55/100] loss=0.383 val_F1=0.7991 val_IoU=0.6654 (44s)
[E56/100] loss=0.377 val_F1=0.7992 val_IoU=0.6656 (50s)
[E57/100] loss=0.373 val_F1=0.7876 val_IoU=0.6497 (44s)
[E58/100] loss=0.358 val_F1=0.7815 val_IoU=0.6414 (45s)
[E59/100] loss=0.354 val_F1=0.8008 val_IoU=0.6678 (45s)
[E60/100] loss=0.358 val_F1=0.7830 val_IoU=0.6433 (44s)
[E61/100] loss=0.353 val_F1=0.7849 val_IoU=0.6460 (44s)
[E62/100] loss=0.355 val_F1=0.8026 val_IoU=0.6702 (43s)
[E63/100] loss=0.349 val_F1=0.7777 val_IoU=0.6363 (47s)
[E64/100] loss=0.350 val_F1=0.7954 val_IoU=0.6603 (45s)
[E65/100] loss=0.340 val_F1=0.7981 val_IoU=0.6640 (45s)
[E66/100] loss=0.337 val_F1=0.7831 val_IoU=0.6436 (42s)
[E67/100] loss=0.330 val_F1=0.7943 val_IoU=0.6588 (44s)
[E68/100] loss=0.335 val_F1=0.7905 val_IoU=0.6536 (45s)
[E69/100] loss=0.331 val_F1=0.8085 val_IoU=0.6786 (42s)
[E70/100] loss=0.318 val_F1=0.8071 val_IoU=0.6766 (45s)
[E71/100] loss=0.323 val_F1=0.7863 val_IoU=0.6478 (45s)
